2021-07-06 20:07:21 INFO  HomePage :23 - Hovering on Buy and Sell Menu --> [[ChromeDriver: chrome on WINDOWS (f5b801efd6099ca848c980bcc6a8ef62)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 20:07:451 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (f5b801efd6099ca848c980bcc6a8ef62)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-06 20:07:647 INFO  SearchPage :31 - Entering email address : Honda to email field : [[ChromeDriver: chrome on WINDOWS (f5b801efd6099ca848c980bcc6a8ef62)] -> xpath: //select[@id='makes']]
2021-07-06 20:07:817 INFO  SearchPage :37 - Entering email address : City to email field : [[ChromeDriver: chrome on WINDOWS (f5b801efd6099ca848c980bcc6a8ef62)] -> xpath: //select[@id='models']]
2021-07-06 20:07:980 INFO  SearchPage :44 - Entering email address : NSW - Mid North Coast to email field : [[ChromeDriver: chrome on WINDOWS (f5b801efd6099ca848c980bcc6a8ef62)] -> xpath: //select[@id='locations']]
2021-07-06 20:07:119 INFO  SearchPage :50 - Entering email address : $15,000 to email field : [[ChromeDriver: chrome on WINDOWS (f5b801efd6099ca848c980bcc6a8ef62)] -> xpath: //select[@id='priceTo']]
2021-07-06 20:07:961 INFO  SearchPage :56 - Clicking on Search button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-07-06 20:07:44 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-06 20:07:00 INFO  HomePage :23 - Hovering on Buy and Sell Menu --> [[ChromeDriver: chrome on WINDOWS (60dc95635d090f72ae10cd077c4630f2)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 20:07:736 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (60dc95635d090f72ae10cd077c4630f2)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-06 20:07:936 INFO  SearchPage :31 - Entering email address : Jeep to email field : [[ChromeDriver: chrome on WINDOWS (60dc95635d090f72ae10cd077c4630f2)] -> xpath: //select[@id='makes']]
2021-07-06 20:07:123 INFO  SearchPage :37 - Entering email address : Commander to email field : [[ChromeDriver: chrome on WINDOWS (60dc95635d090f72ae10cd077c4630f2)] -> xpath: //select[@id='models']]
2021-07-06 20:07:328 INFO  SearchPage :44 - Entering email address : NSW - Mid North Coast to email field : [[ChromeDriver: chrome on WINDOWS (60dc95635d090f72ae10cd077c4630f2)] -> xpath: //select[@id='locations']]
2021-07-06 20:07:482 INFO  SearchPage :50 - Entering email address : $7,500 to email field : [[ChromeDriver: chrome on WINDOWS (60dc95635d090f72ae10cd077c4630f2)] -> xpath: //select[@id='priceTo']]
2021-07-06 20:07:198 INFO  SearchPage :56 - Clicking on Search button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-07-06 20:07:279 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-06 20:07:994 INFO  HomePage :23 - Hovering on Buy and Sell Menu --> [[ChromeDriver: chrome on WINDOWS (e3b98349a928cf0b35f839aca3d27f80)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 20:07:680 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (e3b98349a928cf0b35f839aca3d27f80)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-06 20:07:106 INFO  SearchPage :31 - Entering email address : Mazda to email field : [[ChromeDriver: chrome on WINDOWS (e3b98349a928cf0b35f839aca3d27f80)] -> xpath: //select[@id='makes']]
2021-07-06 20:07:269 INFO  SearchPage :37 - Entering email address : 626 to email field : [[ChromeDriver: chrome on WINDOWS (e3b98349a928cf0b35f839aca3d27f80)] -> xpath: //select[@id='models']]
2021-07-06 20:07:441 INFO  SearchPage :44 - Entering email address : SA - South East to email field : [[ChromeDriver: chrome on WINDOWS (e3b98349a928cf0b35f839aca3d27f80)] -> xpath: //select[@id='locations']]
2021-07-06 20:07:612 INFO  SearchPage :50 - Entering email address : $3,000 to email field : [[ChromeDriver: chrome on WINDOWS (e3b98349a928cf0b35f839aca3d27f80)] -> xpath: //select[@id='priceTo']]
2021-07-06 20:07:523 INFO  SearchPage :56 - Clicking on Search button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-07-06 20:07:545 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-06 20:07:828 INFO  HomePage :23 - Hovering on Buy and Sell Menu --> [[ChromeDriver: chrome on WINDOWS (23a0a6e1828a490463644313ec5de69f)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 20:07:322 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (23a0a6e1828a490463644313ec5de69f)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-06 20:07:493 INFO  SearchPage :31 - Entering email address : Alfa Romeo to email field : [[ChromeDriver: chrome on WINDOWS (23a0a6e1828a490463644313ec5de69f)] -> xpath: //select[@id='makes']]
2021-07-06 20:07:191 INFO  SearchPage :37 - Entering email address : Alfa 159 to email field : [[ChromeDriver: chrome on WINDOWS (23a0a6e1828a490463644313ec5de69f)] -> xpath: //select[@id='models']]
2021-07-06 20:07:351 INFO  SearchPage :44 - Entering email address : NT - All to email field : [[ChromeDriver: chrome on WINDOWS (23a0a6e1828a490463644313ec5de69f)] -> xpath: //select[@id='locations']]
2021-07-06 20:07:498 INFO  SearchPage :50 - Entering email address : $5,000 to email field : [[ChromeDriver: chrome on WINDOWS (23a0a6e1828a490463644313ec5de69f)] -> xpath: //select[@id='priceTo']]
2021-07-06 20:07:416 INFO  SearchPage :56 - Clicking on Search button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
2021-07-06 20:07:500 INFO  BasePage :32 - Launching Chrome Browser 
2021-07-06 20:07:218 INFO  HomePage :23 - Hovering on Buy and Sell Menu --> [[ChromeDriver: chrome on WINDOWS (aa91331bc5272338b5627c4ffde169b2)] -> xpath: //a[contains(text(),'buy + sell')]]
2021-07-06 20:07:921 INFO  HomePage :30 - Click on Desktop Menu --> [[ChromeDriver: chrome on WINDOWS (aa91331bc5272338b5627c4ffde169b2)] -> xpath: //a[contains(text(),'Search Cars')]]
2021-07-06 20:07:107 INFO  SearchPage :31 - Entering email address : BMW to email field : [[ChromeDriver: chrome on WINDOWS (aa91331bc5272338b5627c4ffde169b2)] -> xpath: //select[@id='makes']]
2021-07-06 20:07:393 INFO  SearchPage :37 - Entering email address : 520I to email field : [[ChromeDriver: chrome on WINDOWS (aa91331bc5272338b5627c4ffde169b2)] -> xpath: //select[@id='models']]
2021-07-06 20:07:564 INFO  SearchPage :44 - Entering email address : SA - South to email field : [[ChromeDriver: chrome on WINDOWS (aa91331bc5272338b5627c4ffde169b2)] -> xpath: //select[@id='locations']]
2021-07-06 20:07:712 INFO  SearchPage :50 - Entering email address : $40,000 to email field : [[ChromeDriver: chrome on WINDOWS (aa91331bc5272338b5627c4ffde169b2)] -> xpath: //select[@id='priceTo']]
2021-07-06 20:07:786 INFO  SearchPage :56 - Clicking on Search button : Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'
